"陳　豪、周麗淇、米　雪、黎耀祥、
譚小環、高　雄、歐倩怡、李思捷",秀才遇着兵,2005,1,古裝探案,劉家豪,20
林保怡、蘇玉華、溫兆倫、伍詠薇,奪命真夫,2005,1,時裝懸疑,莊偉建,20
"汪明荃、胡杏兒、黃宗澤、石　修、
伍詠薇、劉家輝、雪　妮、李成昌",我的野蠻奶奶,2005,1,清裝倫理，喜劇,關永忠,20
"馬德鐘、郭可盈、吳卓羲、姜大偉、
官恩娜、姚子羚、蔡子健、楊婉儀",酒店風雲,2005,1,時裝商戰,潘嘉德,30
"苗僑偉、吳美珩、馬國明、廖碧兒、
陳國邦、許紹雄、楊秀惠、米　雪",人間蒸發,2005,1,時裝懸疑,張乾文,20
"郭晉安、宣　萱、黃宗澤、唐　寧、
曹永廉、盧宛茵、許紹雄、秦　沛、
湯盈盈、秦　煌、羅冠蘭、李家聲",阿旺新傳,2005,1,時裝喜劇,黃偉聲,32
"汪明荃、夏　雨、胡杏兒、陳鍵鋒、
劉綽琪、魏駿傑、黎耀祥",識法代言人,2005,1,時裝法律,劉家豪,21
"吳啟華、林保怡、陳　豪、黎　姿、
吳美珩、曹永廉、邵美琪、廖碧兒",妙手仁心III,2005,2,時裝醫務,戚其義,40
"元　彪、邵美琪、梁家仁、劉家輝、
胡諾言、洪天明、李思欣、李詩韻、
郭政鴻、元　華",佛山贊師父,2005,2,清裝武打喜劇,莊偉建,20
"鄭伊健、林保怡、佘詩曼、楊思琦、
鍾嘉欣、黎諾懿、司徒瑞祈、許紹雄",隨時候命,2005,2,時裝紀律,羅永賢,30
"陳百祥、伍詠薇、滕麗名、苑瓊丹、
韓君婷、陳彥行、阮兆祥、李國麟",窈窕熟女,2005,3,時裝查案、處境喜劇,徐正康,26
"鄭嘉穎、周麗淇、黃宗澤、夏　雨、
唐詩詠、司徒瑞祈",天幕下的戀人,2006,0,時裝愛情,王心慰,20
陳浩民、楊思琦、唐文龍、鍾嘉欣,人生馬戲團,2006,0,時裝冒險,徐遇安,20
"鄭丹瑞、伍詠薇、鍾景輝、盧宛茵、
曹永廉、李思捷、鄧上文、苑瓊丹、
鍾　煌、喬寶寶、蔣志光、陳敏之",高朋滿座,2006,0,處境喜劇,羅永賢,239
"林　峯、佘詩曼、郭羨妮、黃宗澤、
陳敏之、姜大偉、郭政鴻、麥長青",覆雨翻雲,2006,1,古裝武俠,張乾文,40
"歐陽震華、郭可盈、陳浩民、楊　怡、
文頌嫻、劉家輝、韓馬利、盧海鵬、
姚瑩瑩、呂　珊、李　楓",施公奇案,2006,1,清裝懸疑,林志華,20
"馬浚偉、姚子羚、黎耀祥、黃智賢、
黎諾懿、郭　峰、蔣志光、劉　江、
惠英紅、雪　妮、麥長青",鐵血保鏢,2006,1,清裝恩仇,李添勝,25
"鄧萃雯、林　峯、吳美珩、馬國明、
謝天華、徐子珊",女人唔易做,2006,1,時裝,潘嘉德,22
"鄭嘉穎、陳松伶、陳敏之、黎耀祥、
劉　丹、程可為、譚小環、羅樂林",飛短留長父子兵,2006,1,時裝,梁材遠,20
劉松仁、吳卓羲、蘇玉華、梁靖琪,男人之苦,2006,1,時裝,潘嘉德,21
"佘詩曼、馬德鐘、陳鍵鋒、商天娥、
劉　丹、胡　楓、汪　琳、姚子羚",鳳凰四重奏,2006,1,清裝、民初、懷舊、時裝,莊偉建,30
"吳啟華、蒙嘉慧、鍾景輝、曹永廉、
吳家樂、許紹雄、唐詩詠、胡定欣",樓住有情人,2006,1,時裝都市愛情,羅永賢,20
"汪明荃、郭晉安、佘詩曼、秦　沛、
關菊英、石　修、陳山聰、陳敏之、
方伊琪、黎諾懿",東方之珠,2006,1,懷舊歌唱,唐基明,30
"香港演員：
馬德鐘、劉松仁、郭羨妮、陳國邦
內地演員：
陳　坤、樊志起、李　鳴、馮紹峰",爭霸,2006,1,古裝,梁家樹、蔡晶盛,42
"郭晉安、伍詠薇、黎耀祥、文頌嫻、
林韋辰、張慧儀、郭　鋒、羅冠蘭",謎情家族,2006,2,時裝懸疑,林志華,20
"鄭少秋、蘇玉華、陳鍵鋒、唐　寧
向海嵐、陳國邦、石　修、湯盈盈",潮爆大狀,2006,2,時裝法律,唐基明,20
"林保怡、陳　豪、蔡少芬、黎　姿、
佘詩曼、邵美琪、黃德斌、陳鴻烈、
鍾景輝、王賢誌、周家怡、馬海倫、
陳秀珠",火舞黃沙,2006,2,近代恩仇,戚其義,32
歐陽震華、林文龍、蒙嘉慧、鍾嘉欣,法證先鋒,2006,2,時裝偵探,梅小青,25
"陳錦鴻、吳美珩、秦　沛、馬國明、
江芷妮、劉玉翠、蔣志光、湯盈盈、
石　修",愛情全保,2006,2,時裝保險,林志華,20
林保怡、王　喜、伍詠薇、邵美琪,刑事情報科,2006,2,時裝警匪,戚其義,20
"陳　豪、馬浚偉、郭羨妮、楊　怡、
姜大偉、黃德斌、劉　丹、姚嘉妮",滙通天下,2006,2,清裝,梁材遠,32
"胡杏兒、許志安、馬國明、黃淑儀、
關禮傑、李詩韻、胡諾言、姚嘉妮",肥田囍事,2006,2,時裝喜劇,關永忠,21
"歐陽震華、苗僑偉、宣　萱、黃宗澤
楊　怡、許紹雄、郭　峰、郭少芸",賭場風雲,2006,2,時裝恩仇,張乾文,35
"馮德倫、陳子聰、何超儀、
梁漢文、田蕊妮、徐濠縈",老馮日記,2006,3,處境喜劇,馮德倫,11
"關詠荷、金燕玲、江欣燕、石　修、
歐錦棠、蔡淇俊、湯盈盈、黃子雄、
徐　榮、王祖藍、陳自瑤、黎耀祥、
郭少芸、陳鴻烈、劉　江、布韋傑",同事三分親,2007,0,處境喜劇,曾勵珍、羅鎮岳,364 （每集列表）
"郭可盈、林文龍、黎諾懿、唐　寧、
李逸朗、胡諾言、胡定欣、羅貫峰、
廖啟智",十兄弟,2007,1,清末民初特技,潘嘉德,20
"胡杏兒、陳錦鴻、吳卓羲、唐　寧、
曹敏莉、石　修、劉　丹、譚小環",亂世佳人,2007,1,民初抗戰,莊偉建,27（香港）/30（海外）
"馬浚偉、陳浩民、楊思琦、李詩韻、
元　華、陳秀珠、羅敏莊、郭　峰",天機算,2007,1,古裝,徐遇安,20
"鄧萃雯、葉　童、商天娥、謝天華、
姜大偉、郭政鴻、唐　寧、馬國明",師奶兵團,2007,1,時裝家庭,林志華,21
"陳錦鴻、伍詠薇、黎諾懿、元　華、
唐詩詠、苑瓊丹、麥長青、黃智賢",緣來自有機,2007,1,時裝都市,徐遇安,20
"鄭嘉穎、黃宗澤、廖碧兒、楊思琦、
陳敏之、黎耀祥、李思捷、高　雄",強劍,2007,1,古裝武俠,劉家豪,20
"歐陽震華、王　喜、夏　雨、
蒙嘉慧、楊　怡、向海嵐",爸爸閉翳,2007,1,時裝溫情,梅小青,25
"馬浚偉、廖碧兒、徐子珊、黎耀祥、
陳法拉、姚嘉妮、高鈞賢、黃長興",舞動全城,2007,1,時裝溫情,梁材遠,20
"黃子華、葉　童、林嘉華、許紹雄、
楊秀惠",奸人堅,2007,1,民初喜劇,林志華,21
"陳小春、佘詩曼、謝天華、陳敏之、
徐淑敏、元　華、惠英紅",鐵咀銀牙,2007,1,清裝喜劇,唐基明,20
"方中信、楊　怡、伍詠薇、鍾景輝、
陳國邦、唐詩詠、洪天明、向海嵐",建築有情天,2007,1,時裝都市、愛情,羅永賢,20
"馬浚偉、吳卓羲、廖碧兒、米　雪、
徐子珊、楊思琦、岳　華、馬國明",突圍行動,2007,2,時裝倫理,梅小青,25
謝天華、鍾嘉欣、黎耀祥、向海嵐,迎妻接福,2007,2,清末民初喜劇,李添勝,20
"鄭嘉穎、黎　姿、秦　沛、麥長青、
陳芷菁、唐詩詠、黃智賢、王賢誌",寫意人生,2007,2,時裝,梁材遠,20
"陳　豪、黃宗澤、林　峯、鍾嘉欣、
楊　怡、蒙嘉慧、李司棋、夏　雨、
米　雪、關菊英、黎諾懿、陳法拉、
阮兆祥、李成昌",溏心風暴,2007,2,時裝家族,劉家豪,40
"吳卓羲、陳鍵鋒、陶大宇、郭羨妮、
容祖兒、徐子珊、錢嘉樂、林嘉華",學警出更,2007,2,時裝警匪,黃偉聲,30
